,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
34,259379,0,329,exp31,7.7986534954,,0.056,,0.5141975684,7.7734180491,7.7987179315,8.0673184842,7.5048174964,7.901427818474664,7.671042508592877,0.3504617984,,0.0072707634,,0.0391977384,0.5053958869,0.4945525198,0.3987218976,0.4279537441
91,259379,0,329,exp3++,7.7944164134,,0.054,,0.5226291793,7.7586739072,7.7744935623,8.1684376349,7.3647298347,7.93775955565384,7.595407913917208,0.4998163689,,0.0071473072,,0.0648474366,0.7277379261,0.7132485928,0.5813740433,0.6143958681
57,263015,0,242,uniform,18.2291363636,,0.061,,0.5010578512,18.2116423712,18.2460615049,18.7156735033,17.7420303728,18.250745702592827,18.211941644579326,0.6042532976,,0.0075682891,,0.0322595935,0.8723914204,0.8535334276,0.7009387707,0.724481061
92,263015,0,242,ts,18.2219132231,,0.075,,0.6809421488,17.6632002039,17.7234921667,18.5450362556,16.841656115,18.45153496141426,16.935339227381302,0.6240403984,,0.0083291656,,0.1795393943,1.7470857963,1.6085273017,0.645987986,1.9425328801
13,263015,0,242,exp3,18.2156880165,,0.064,,0.5267582645,18.182877747,18.1831786406,18.5405507906,17.825505597,18.29533071302439,18.072291790256287,0.4299828854,,0.0077397674,,0.1107068405,0.6363568685,0.6348091666,0.4827666908,0.5649993762
35,263015,0,242,exp31,18.2239979339,,0.046,,0.5139008264,18.1872782969,18.231026431,18.5445421375,17.8737625904,18.313786218114604,18.100427600695394,0.4306250906,,0.0066245,,0.0558612893,0.5950320576,0.6202350356,0.4798345004,0.533383399
93,263015,0,242,exp3++,18.2480495868,,0.059,,0.5231818182,18.2124731801,18.2056061476,18.7139253977,17.70415393,18.550526119436377,17.871073869422013,0.619545073,,0.0074511073,,0.0387289296,0.9175040681,0.8598319773,0.6921664941,0.7695678386
58,263052,0,382,uniform,13.0495,,0.054,,0.5012774869,13.0426273859,13.0546809024,13.4880583271,12.6092499612,13.052128095713014,13.03674563767771,0.5603000411,,0.0071473072,,0.027203205,0.7733265332,0.7879570349,0.6355584531,0.6549017026
94,263052,0,382,ts,12.9855209424,,0.106,,0.6944581152,12.4679422697,12.4391658872,13.2717825479,11.635325609,13.19615828636685,11.71181898046052,0.5289347767,,0.0097346803,,0.1800693399,1.5917760251,1.5901092713,0.5501119919,1.8495928171
14,263052,0,382,exp3,13.049302356,,0.054,,0.545315445,13.0046418793,13.0025944762,13.3282168264,12.6790195291,13.159051753595946,12.846993502453097,0.3790293609,,0.0071473072,,0.1016763443,0.5623471929,0.5596831185,0.4298865876,0.4836844123
36,263052,0,382,exp31,13.0366400524,,0.056,,0.5145026178,13.0226541161,13.0173225019,13.3234987011,12.7164779169,13.138493565134523,12.90150137748894,0.3779397734,,0.0072707634,,0.0540146566,0.5506540012,0.5314898017,0.4318928181,0.4636236932
95,263052,0,382,exp3++,13.0191204188,,0.07,,0.5277696335,12.9870802291,12.9715625612,13.4337141763,12.524928614,13.23336505354246,12.718481925309723,0.5248046962,,0.0080684571,,0.053593896,0.7854906773,0.7782975407,0.595625031,0.6746467878
59,263057,0,129,uniform,18.391620155,,0.063,,0.4993953488,18.413489851,18.3679288076,18.8683582292,17.9130604294,18.403246499671308,18.378172158949972,0.5948153314,,0.0076831634,,0.0443380467,0.8257740521,0.8703321588,0.6656266401,0.7355698397
96,263057,0,129,ts,18.384744186,,0.078,,0.6757596899,17.9513615317,17.9739752458,18.7205540868,17.2047826906,18.651925384501915,17.27341139296646,0.5623873977,,0.0084803302,,0.1570193398,1.4060234134,1.3563886698,0.5603541059,1.5343303314
15,263057,0,129,exp3,18.3905775194,,0.061,,0.5170348837,18.353668862,18.3911867806,18.7163327606,18.028522882,18.438785085522824,18.307814743086745,0.4073441981,,0.0075682891,,0.0963091315,0.5983100313,0.5979938932,0.449125457,0.5272764895
37,263057,0,129,exp31,18.3903217054,,0.052,,0.5073410853,18.3820910491,18.3813797394,18.7314532179,18.0320175706,18.4537497527094,18.309643516370937,0.4289693165,,0.007021111,,0.0572551291,0.6154812091,0.6126580695,0.4862589376,0.522603497
97,263057,0,129,exp3++,18.4005581395,,0.052,,0.516372093,18.3776494063,18.3752184024,18.8522424868,17.9006253219,18.640433222394204,18.112434586320223,0.609147189,,0.007021111,,0.0314000915,0.8550177373,0.8483050084,0.6600353473,0.749830247
60,263109,0,280,uniform,18.7035678571,,0.045,,0.5018964286,18.7101777604,18.6948140381,19.0398211994,18.3651705992,18.730472498807575,18.673562156865344,0.4175478251,,0.006555532,,0.0285859425,0.6059997376,0.5774913498,0.4745032603,0.4981163547
98,263109,0,280,ts,18.7177678571,,0.081,,0.686875,18.3387318888,18.3859092214,18.941257072,17.7833840382,18.888583444821773,17.83685766538227,0.4283732038,,0.0086278039,,0.1714315243,1.0871814708,1.2224771911,0.443132637,1.3456691155
16,263109,0,280,exp3,18.7340214286,,0.047,,0.5324660714,18.7125658622,18.7071611746,18.9447459859,18.4749810508,18.781671444490406,18.638212735117126,0.3044044731,,0.0066926079,,0.1148954194,0.4319950136,0.4374175115,0.3407142681,0.3892847504
38,263109,0,280,exp31,18.7142428571,,0.053,,0.5097392857,18.6932523145,18.7167132083,18.9491789316,18.4607865913,18.761633384721943,18.64583570952438,0.2944147246,,0.0070845607,,0.0613981414,0.4491865974,0.4104327796,0.3442168288,0.3643488827
99,263109,0,280,exp3++,18.7109571429,,0.05,,0.5161535714,18.6805061885,18.7065396239,19.0325222773,18.3545235351,18.895905297648902,18.490769086169923,0.4161217532,,0.0068920244,,0.0304417877,0.5854278024,0.6091642408,0.4710104156,0.5123023474
61,263115,0,380,uniform,20.6811815789,,0.052,,0.5007131579,20.6595069955,20.7020016574,21.0569179089,20.304590744,20.686539848275753,20.67925301516788,0.4779480769,,0.007021111,,0.0264721093,0.6914957462,0.651800121,0.5408748057,0.5730349257
100,263115,0,380,ts,20.6637052632,,0.073,,0.6963947368,20.173638051,20.2337853289,20.9199480761,19.4874753038,20.85743691107111,19.551465416286387,0.4711519502,,0.0082262385,,0.1776774034,1.5008571069,1.3110646849,0.4790037444,1.6485866073
17,263115,0,380,exp3,20.6603684211,,0.027,,0.5326131579,20.6225638334,20.6321659938,20.8969016844,20.3578281429,20.72809464035473,20.527098344782978,0.3401286817,,0.0051255244,,0.1339596094,0.5011756547,0.4971023258,0.3749292094,0.4609357942
39,263115,0,380,exp31,20.6772197368,,0.058,,0.5125868421,20.6761588924,20.6572806589,20.9386414635,20.3947980878,20.742425920304502,20.591216262588176,0.3354083462,,0.0073916169,,0.0530003796,0.4853085621,0.4722497244,0.3787399658,0.4091401058
